name,id,rarity,type,extraTypes,shop,price,staminaCost,minDam,maxDam,cd,accuracy,chance,chance2,shopChance,block,p1,p2,p3,p4,p5,material,canActivate,recipes,gateItem,tags,gain,use,remove,threshold,weight,p6,p7,p8,p9,p10,appropriated,demo,earliestRound,latestRound,requires,version,animation,physics,textEffect,class_override
Heart of Darkness,244,Godly,Accessory,Dark,no,18,,,,4,,,,,,7:regent,40:healreduction,4:empower,100:maxhealth,2:buffsteal,Metal,,,,,Buff,Regeneration,,,,20:darkspeed,,,,,,,,,,0.8.3,VerySquishyJump,,,
Thornbloom,260,Godly,Melee Weapon,Nature,no,14,2.1,7,12,2.1,80,60,,,,1:spikes,1:empower,1:damperspike,11:maxhealth,,Squishy,,,,,"Empower,Spikes",,,,,,,,,,,,,,,0.9.8,Slash,,,
King Crown,261,Godly,Helmet,"Holy,Magic",no,17,,,,2.4,,,,,,50:gempower,8:heal,10:mana,2.5:dur_invu,,Metal,,,,,,Mana,,,,,,,,,,,,,,0.9.8,SquishyJump,,,
King Goobert,262,Godly,Pet,"Holy,Magic",no,23,,,,,,,,,,6:activations,35:heal,3:buffs,4:mana,1.5:dur_invu,Slime,,,,,,Mana,,,,3:charges,50:gempower,,,,,,,,,0.9.8,Squish,Slime,,
Stone Golem,271,Godly,Ranged Weapon,"Pet,Effect",no,15,0,8,13,5.5,85,30,,,150,1:empower,0.5:dur_stun,7:regen,2.6:buffedcd,10:bonusdam,Stone,,,,,Empower,Regeneration,,,,,,,,,,no,,,,0.9.12,Jump,VeryDense,,
Prismatic Sword,257,Godly,Melee Weapon,"Magic,Vampiric,Holy,Dark",no,17,1,14,20,1.4,90,10,10:debuff,,,8:speed,15:lifesteal,0.3:dam,4:debuffs,,Metal,,,,Lifesteal,Debuff,,,,,,,,,,,no,,,,0.9.12,Slash,,Rainbow,
Katana,355,Godly,Melee Weapon,,no,11,1.3,8,10,1.7,90,,,,,1:dam,1:bonusdam,20:buffst,2:buffs,,Metal,,,,,,,Buff,,,,,,,,,no,,,,0.9.24,Slash,,Steel,
Winged Boots,384,Godly,Shoes,Holy,no,13,,,,,,,,,,70:healtht,1:empower,20:cleanse,3:dodge,,Leather,,,,,Empower,,Debuff,,,,,,,,,no,,,,0.9.33,SquishyJump,Floaty,,
Paradise Birb,392,Godly,Pet,"Magic,Vampiric,Holy,Dark,Musical,Nature",no,20,,,,2.7,,7:buff,,,,7:speed,10:max,7:healamp,,,,,,,,,,,,,,,,,,,no,,,,0.9.37,VerySquishyJump,Floaty,Rainbow,
Random Loadout Bag,281,Unique,Bag,,special,10,,,,,,,,,,,,,,,Leather,,,,,,,,,,,,,,,,no,,,,0.9.16,,,Shaky,
Star of Courage,282,Unique,Accessory,,special,1,,,,,,,,,,5:uniques,5:stamina,,,,Jewelry,no,,,,,,,,,,,,,,,no,,,,0.9.16,,,,
Rainbow Badge,250,Unique,Accessory,,unique,5,,,,7,,,,,,,,,,,Jewelry,,,,,Buff,,,,,,,,,,,no,1,,,0.9.4,VerySquishyJump,,Rainbow,
Stone Badge,251,Unique,Accessory,,unique,5,,,,3,,,,,4,1:goldvalue,,,,,Jewelry,,,,,,,,,,,,,,,,no,1,,,0.9.4,SquishyJump,,Stone,
Leaf Badge,246,Unique,Accessory,,unique,5,,,,2.2,,2:crit,,,,,,,,,Jewelry,,,,,Lucky,,,,,,,,,,,no,1,,,0.9.4,VerySquishyJump,,,
Skull Badge,247,Unique,Accessory,,unique,5,,,,1.5,,,,,,,,,,,Jewelry,,,,,Debuff,,,,,,,,,,,no,1,,,0.9.4,VerySquishyJump,,,
Wolf Badge,248,Unique,Accessory,,unique,5,,,,,,,,,,50:healtht,5:dur,35:ragespeed,25:ragedamreduction,,Jewelry,,,,BattleRage,,,,,,,,,,,,no,1,,,0.9.4,VerySquishyJump,,,
Flame Badge,249,Unique,Accessory,,unique,5,,,,,,,,65,,6:heat,,,,,Jewelry,,,,,Heat,,,,,,,,,,,no,1,,,0.9.4,VerySquishyJump,,,
Puzzle Badge,409,Unique,Accessory,,unique,5,,,,5,,,,35,,20:speed,50:speed2,,,,Jewelry,,,,,,,,,,,,,,,,,1,,,1.0.0,VerySquishyJump,,,
Magic Badge,350,Unique,Accessory,Magic,unique,5,,,,,,30,,,,5:mana,,,,,Jewelry,,,,,Mana,,,,,,,,,,,,1,,,1.0.0,VerySquishyJump,,,
Twine Badge,411,Unique,Accessory,,unique,5,,,,,,20:buffs,,40:restock,,20:speed,,,,,Jewelry,no,,,,,,,,,,,,,,,,1,,,1.0.0,VerySquishyJump,,,
Artifact Stone Cold,138,Unique,Ranged Weapon,Ice,unique,10,0,2,4,4,90,,,,,3,1,,,,Stone,,,,Stone,Cold,,,,,,,,,,,,,,,0.4.3,Throw,VeryDense,,
Vampiric Scythe,139,Unique,Melee Weapon,Vampiric,unique,7,0,10,16,4,90,,,,,5,200,,,,Metal,,,,,,,,,,,,,,,,,,,,0.4.3,Slash,Dense,,
Villain Sword,140,Unique,Melee Weapon,Dark,unique,7,0.3,4,6,1.3,90,,,,,2,4,,,,Metal,,,,,,,,,1.3,,,,,,,,,10,,0.4.3,Slash,,,
Skull,156,Unique,Gem,Dark,unique,10,,,,,,25,50,,,30,50:heal,5,,,Jewelry,,,,,Empower,,,,,,,,,,,,,,,0.5.5,Jump,,,
Artifact Stone Heat,210,Unique,Ranged Weapon,Fire,unique,9,0,4,6,4,90,,,,,3,10,8,,,Stone,,,,Stone,Heat,,,,,,,,,,,,,,,0.7.0,Throw,VeryDense,,
Present,213,Unique,Accessory,,unique,10,,,,,,,,,,5,1.7,,,,Paper,,,,,Buff,,,,,,,,,,,,,17,,0.7.1,VerySquishyJump,,,
Gingerbread Man,214,Unique,Food,Magic,unique,8,,,,3,,,,,,40:maxhealth,1:luckt,1:heatt,1:manat,1:empower,Squishy,,,,,"Empower,Regeneration","Lucky,Heat,Mana",,,,3:regen,20:maxhealth_use,,,,,,,,,0.7.1,VerySquishyJump,Plush,,
Pumpkin,157,Unique,Ranged Weapon,"Food,Nature",unique,8,0,6,12,5,90,50,,,,0.5:dur_stun,10:heat,,,,Squishy,,,,,Heat,,,,,,,,,,,,,,,0.5.5,VerySquishyJump,,,
Dancing Dragon,230,Unique,Ranged Weapon,Fire,unique,9,2,15,20,2.2,85,2,,,,0.5:damperheat,2:heat,2:luck,,,Paper,,,,,"Heat,Lucky",,,,,,,,,,,,,,,0.8.0,Slash,Floaty,,
Cubert,256,Unique,Pet,,unique,8,,,,,,65,65,,,1:regen,1:regent,1:empower,,,Slime,no,,,,"Empower,Regeneration",Regeneration,,,,,,,,,,no,,,,0.9.16,Squish,Slime,,
Stable Recombobulator,279,Unique,Accessory,"Dark,Magic",unique,6,,,,2.5,,,,,,3:bonusvalue,,,,,Metal,,,,,Buff,,Debuff,,,,,,,,,no,,17,,0.9.16,Spin,,Shaky,
Artifact Stone Death,283,Unique,Ranged Weapon,Dark,unique,8,0,7,9,1.5,90,8:crit,,,,,,,,,Stone,,,,Stone,,,,,,,,,,,,no,,,,0.9.16,Throw,VeryDense,,
Ghost,284,Unique,Pet,Dark,unique,10,,,,3,,,,,,30:unhealing,12:heal,,,,,,,,,,Buff,,,,,,,,,,no,,,,0.9.16,VerySquishyJump,Ghost,Spooky,
Time Dilator,285,Unique,Accessory,,unique,8,,,,1,,,,,,30:slow,6:speed,,,,Jewelry,,,,,,,,,,,,,,,,no,,,,0.9.16,SquishyJump,,,
Pop,308,Unique,Ranged Weapon,"Pet,Magic,Effect",unique,6,0,2,3,1.5,90,,,,,4:speed,60:max,,,,,,,,,,,,,,,,,,,,no,,,,0.9.23,VerySquishyJump,Slime,,
Cthulhu,309,Unique,Pet,Dark,unique,8,,,,2.7,,,,,,15:speed,10:dam,100:lifesteal,,,,,,,Lifesteal,,,,,,,,,,,,no,,,,0.9.23,VerySquishyJump,,,
Snowcake,367,Unique,Food,Ice,unique,6,,10,10,2.1,,,,,,1:cold,10:coldt,10:damfactor,,,Squishy,,,,,Cold,,,,,,,,,,,no,,,,0.9.24,VerySquishyJump,Light,,
Little Mimic,371,Unique,Pet,,unique,6,,,,6,,,,40,,3:buffs,1:speed,,,,Wood,,,,,Buff,,,,,,,,,,,no,,,,0.9.28,VerySquishyJump,,,
Bomb,387,Unique,Accessory,,unique,7,,30,30,12,,,,,,4:dam,,,,,Metal,,,,,,Buff,,,,,,,,,,no,,,,0.9.33,Scale,BouncyDense,,
Repeater,393,Unique,Accessory,,unique,8,,,,12,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,no,,,,0.9.37,Spin,,,
Box of Riches,112,Rare,Accessory,,,5,,,,,,,,50,,30,,,,,Wood,no,"Lucky Cat*>Box of Prosperity,Hammer*>Box of Prosperity,Thors Hammer*>Box of Prosperity",,,,,,,,,,,,,,,,,,0.3.7,SquishyJump,,,
Chipped Ruby,86,Common,Gem,,no,1,,,,5,,,,,,7:lifesteal_weapon,10:healamp,4:flatsteal,150:lifesteal_factor,,Jewelry,,Chipped Ruby>Flawed Ruby,Box of Riches,Lifesteal,,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Flawed Ruby,87,Rare,Gem,,no,2,,,,5,,,,,,10:lifesteal_weapon,15,6,150:lifesteal_factor,,Jewelry,,Flawed Ruby>Regular Ruby,Box of Riches,Lifesteal,,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Regular Ruby,88,Epic,Gem,,no,4,,,,5,,,,,,15:lifesteal_weapon,20,10,150:lifesteal_factor,,Jewelry,,Regular Ruby>Flawless Ruby,Box of Riches,Lifesteal,,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Flawless Ruby,89,Legendary,Gem,,no,8,,,,5,,,,,,20:lifesteal_weapon,25,15,150:lifesteal_factor,,Jewelry,,Flawless Ruby>Perfect Ruby,Box of Riches,Lifesteal,,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Perfect Ruby,90,Godly,Gem,,no,16,,,,5,,,,,,35:lifesteal_weapon,40,35,150:lifesteal_factor,,Jewelry,,,Box of Riches,Lifesteal,,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Chipped Sapphire,91,Common,Gem,,no,1,,,,4.5,,15,,,,1:manaonhit,5:manaforblock,2:block,1:coldonhit,2:cold,Jewelry,,Chipped Sapphire>Flawed Sapphire,Box of Riches,,Cold,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Flawed Sapphire,92,Rare,Gem,,no,2,,,,4.5,,25,,,,1,5,3,1,3,Jewelry,,Flawed Sapphire>Regular Sapphire,Box of Riches,,Cold,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Regular Sapphire,93,Epic,Gem,,no,4,,,,4,,40,,,,1,5,4,1,4,Jewelry,,Regular Sapphire>Flawless Sapphire,Box of Riches,,Cold,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Flawless Sapphire,94,Legendary,Gem,,no,8,,,,3.5,,60,,,,1,5,5,1,5,Jewelry,,Flawless Sapphire>Perfect Sapphire,Box of Riches,,Cold,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Perfect Sapphire,95,Godly,Gem,,no,16,,,,3,,100,,,,1,5,8,1,8,Jewelry,,,Box of Riches,,Cold,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Chipped Emerald,101,Common,Gem,,no,1,,,,3,,35,,,,1:poisononhit,10:resist,1:regen,,,Jewelry,,Chipped Emerald>Flawed Emerald,Box of Riches,,Regeneration,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Flawed Emerald,102,Rare,Gem,,no,2,,,,4,,50,,,,1:poisononhit,15:resist,2:regen,,,Jewelry,,Flawed Emerald>Regular Emerald,Box of Riches,,Regeneration,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Regular Emerald,103,Epic,Gem,,no,4,,,,4,,80,,,,1:poisononhit,20:resist,3:regen,,,Jewelry,,Regular Emerald>Flawless Emerald,Box of Riches,,Regeneration,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Flawless Emerald,104,Legendary,Gem,,no,8,,,,3.5,,80,,,,2:poisononhit,25:resist,4:regen,,,Jewelry,,Flawless Emerald>Perfect Emerald,Box of Riches,,Regeneration,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Perfect Emerald,105,Godly,Gem,,no,16,,,,3,,80,,,,4:poisononhit,40:resist,7:regen,,,Jewelry,,,Box of Riches,,Regeneration,,,,,,,,,,Piggy of Riches,,,,,0.3.7,,,,
Chipped Topaz,96,Common,Gem,,no,1,,,,,,10,5:critresist,,,10:attackspeed,8:staminaregen,,,,Jewelry,no,Chipped Topaz>Flawed Topaz,Box of Riches,,,,,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Flawed Topaz,97,Rare,Gem,,no,2,,,,,,15,7,,,15,12,,,,Jewelry,no,Flawed Topaz>Regular Topaz,Box of Riches,,,,,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Regular Topaz,98,Epic,Gem,,no,4,,,,,,20,10,,,20,20,,,,Jewelry,no,Regular Topaz>Flawless Topaz,Box of Riches,,,,,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Flawless Topaz,99,Legendary,Gem,,no,8,,,,,,30,15,,,25,30,,,,Jewelry,no,Flawless Topaz>Perfect Topaz,Box of Riches,,,,,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Perfect Topaz,100,Godly,Gem,,no,16,,,,,,50,30,,,40,50,,,,Jewelry,no,,Box of Riches,,,,,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Chipped Amethyst,106,Common,Gem,,no,1,,,,3.2,,25,,,,12:healingreduction,1:buffs,,,,Jewelry,,Chipped Amethyst>Flawed Amethyst,Box of Riches,,,,Debuff,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Flawed Amethyst,107,Rare,Gem,,no,2,,,,2.5,,35,,,,18,1:buffs,,,,Jewelry,,Flawed Amethyst>Regular Amethyst,Box of Riches,,,,Debuff,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Regular Amethyst,108,Epic,Gem,,no,4,,,,2,,50,,,,25,1:buffs,,,,Jewelry,,Regular Amethyst>Flawless Amethyst,Box of Riches,,,,Debuff,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Flawless Amethyst,109,Legendary,Gem,,no,8,,,,1.6,,75,,,,30,1:buffs,,,,Jewelry,,Flawless Amethyst>Perfect Amethyst,Box of Riches,,,,Debuff,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Perfect Amethyst,110,Godly,Gem,,no,16,,,,1,,70,,,,45,2:buffs,,,,Jewelry,,,Box of Riches,,,,Debuff,,,,,,,,Piggy of Riches,,,,,0.3.8,,,,
Ranger Bag,67,Unique,Bag,,Ranger,16,,,,,,12:crit,3:crit2,,,,,,,,Leather,,,,,,,,,,,,,,,,,,,,0.1.0,,,,
Vineweave Basket,252,Unique,Bag,,Ranger,20,,,,,,,,,,12:healamp,5:ampbonus,20:sales,1:round1,10:round2,Leather,,,,,,,,,,,,,,,,no,,,,0.9.16,,,,
Lucky Clover,24,Rare,Accessory,Nature,Ranger,2,,,,,,,,,,1,,,,,Leaf,,,,,Lucky,,,,,,,,,,,,,,,0.1.0,VerySquishyJump,Floaty,,
Carrot,124,Rare,Food,Nature,Ranger,3,,,,2.7,,55,,,,,4:luckt,,,,Squishy,,Snowball+Lump of Coal>Snowmaster,,,Empower,,Debuff,,,,,,,,,,,,,0.4.0,VerySquishyJump,Light,,
Shortbow,182,Common,Ranged Weapon,,Ranger,4,0.7,2,3,1.7,85,,,,,1,,,,,Wood,,"Walrus Tusk>Thorn Shortbow,Lucky Clover+Lucky Clover>Lucky Shortbow,Pestilence Flask>Poison Shortbow",,Bow,,,,,,,,,,,,no,,,,0.9.0,Shoot,,,
Acorn Collar,39,Epic,Accessory,Nature,Ranger,8,,,,,,5:crit,,,,,,,,,Jewelry,no,"Blood Amulet*>Vampiric Collar,Mana Orb*>Magic Collar,Holy Armor*>Holy Collar",,,,,,2,,,,,,,,,,,,0.1.0,,,,
Bow and Arrow,31,Epic,Ranged Weapon,,Ranger,6,1.2,6,9,3,85,,,,,1,7,,,,Wood,,"Walrus Tusk>Thorn Bow,Lucky Clover+Lucky Clover>Lucky Bow,Pestilence Flask>Poison Bow",,Bow,,,,4,,,,,,,,,,,,0.1.0,Shoot,,,
Thorn Shortbow,233,Rare,Ranged Weapon,Nature,no,8,0.7,2,3,1.7,85,50,,,,,,,,,Wood,,,,Bow,Spikes,,,,,,,,,,,no,,,,0.9.0,Shoot,,,
Lucky Shortbow,234,Epic,Ranged Weapon,Nature,no,8,0.7,3,4,1.7,100,85:luck,,,,,,,,,Wood,,,,Bow,Lucky,,,,,,,,,,,no,,,,0.9.0,Shoot,,,
Poison Shortbow,235,Legendary,Ranged Weapon,Nature,no,11,0.7,4,11,1.7,85,70,,,,2:poison,,,,,Wood,,,,Bow,Debuff,,,,,,,,,,,no,,,,0.9.0,Shoot,,Poison,
Lucky Piggy,119,Epic,Accessory,,no,7,,,,,,,,,,1,2,12:bonuschance,,,Stone,,,,,Lucky,,,,,,,,,,,,,,,0.3.9,VerySquishyJump,,,
Carrot Goobert,168,Epic,Pet,Nature,no,12,,,,,,,,,,6:activations,4:cleanse,2:empower,8:dur,,Slime,,Light Goobert+Steel Goobert+Blood Goobert>Rainbow Goobert Ranger,,,Empower,,Debuff,,,,,,,,,,,,,0.5.6,Squish,Slime,,
Thorn Bow,192,Legendary,Ranged Weapon,Nature,no,10,1.2,9,12,3,85,,,,,4:spikes,9:bonusdam,,,,Wood,,,,Bow,Spikes,Spikes,,,,,,,,,,,,,,0.6.2,Shoot,,,
Lucky Bow,193,Legendary,Ranged Weapon,Nature,no,10,1.2,6,9,2.8,85,,,,,5:luck,,,,,Wood,,,,Bow,Lucky,,,,,,,,,,,,,,,0.6.2,Shoot,,,
Poison Bow,194,Legendary,Ranged Weapon,Nature,no,13,1.2,11,14,3,85,,,,,5:damforpoison,0.5,,,,Wood,,,,Bow,Poison,,,,,,,,,,,,,,,0.7.4,Shoot,,Poison,
Critwood Staff,33,Legendary,Ranged Weapon,"Magic, Nature",no,18,1,6,8,1.8,90,,,,,3:mana,7,1.5:dur,,,Wood,,,,Staff,,Mana,,,,,,,,,,,,,,0.3.1,Wave,,,
Snowmaster,424,Legendary,Pet,Ice,no,9,,,,1.3,,,,,,1:cold,10:coldt,1:empower,10:speed,,Ice,,,Frozen Flame,,"Cold,Empower",,Debuff,,,,,,,,,no,,,,1.0.0,VerySquishyJump,,,Ranger
Vampiric Collar,429,Legendary,Accessory,"Vampiric, Nature",no,8,,,,,,4:crit,,,,3:lifesteal,50:max,,,,Jewelry,no,,,,,,,,,,,,,,,no,,,,1.0.0,VerySquishyJump,,,
Magic Collar,430,Legendary,Accessory,"Magic,Nature",no,8,,,,,,7:mana,,,,3:mana,,,,,Jewelry,no,,,,Mana,,,,,,,,,,,no,,,,1.0.0,VerySquishyJump,,,
Holy Collar,431,Legendary,Accessory,"Holy,Nature",no,8,,,,,,22,1:crit,,,1:luck,1:regen,,,,Jewelry,no,,,,"Lucky,Regeneration",,,,,,,,,,,no,,,,1.0.0,VerySquishyJump,,,
Rainbow Goobert Ranger,169,Godly,Pet,"Vampiric, Holy, Nature",no,54,,,,,,,,,20,9:activations,40:heal,2,2,3:blind,Slime,,,,,"Empower,Vampirism,Blind",,,,,4:dambonus,,,,,,,,,,0.5.6,Squish,Slime,Rainbow,
Piercing Arrow,141,Unique,Accessory,,Ranger>Hunter,10,,,,,,40:luck,,,,50:critdam,15:blockremoval,,,,Wood,no,,,,Lucky,,,,,,,,,,,,,,,0.5.0,,,,
Yggdrasil Leaf,142,Unique,Accessory,"Nature,Magic",Ranger>Lifebinder,10,,,,,,,,,,2:mana,1:regen,5:manat,18:heal,2:cleanse,Leaf,,,,,"Mana,Regeneration",,Debuff,,,,,,,,,,,,,0.5.0,VerySquishyJump,Floaty,,
Poison Ivy,145,Unique,Accessory,Nature,Ranger>Pathfinder,10,,,,,,5,,,,18:poisont,25:damfactor,,2:poisonperspike,,Leaf,no,,,,Poison,,,,,,,,,,,,,,,0.5.0,VerySquishyJump,Floaty,Poison,
Mega Clover,159,Unique,Accessory,Nature,Ranger>Grovekeeper,10,,,,,,,,,,15:luckneeded,22:buffs,5:sales,20:uniques,,Leaf,,,,,BuffNoLuck,,,,,,,,,,,no,,,,0.9.0,VerySquishyJump,,,
Bowl of Treats,162,Unique,Food,Nature,Ranger>Beastmaster,10,,,,4,,20,,30,,2,25:foodspeed,100,,,Wood,,,,,Buff,,,,,,,,,,,no,,,,0.9.0,VerySquishyJump,,,
Rat,163,Common,Pet,Nature,no,4,,5,5,3.3,,75,10,,,15:petspeed,1:poison,1:blind,,,,,Healing Herbs>Rat Chef,Bowl of Treats,,Poison,,,,,,,,,,,,,,,0.9.0,VerySquishyJump,,,
Squirrel,164,Rare,Pet,Nature,no,5,,,,4,,,,,,15:petspeed,1:buffsteal,,,,,,Shortbow>Squirrel Archer,Bowl of Treats,,Buff,,,,,,,,,,,,,,,0.9.0,VerySquishyJump,Floaty,,
Hedgehog,165,Epic,Pet,Nature,no,6,,10,10,5,,,,,25,15:petspeed,0.5:dam_spikes,70:healtht,3:spikes,,,,Heroic Potion>Hyper Hedgehog,Bowl of Treats,,Spikes,,,,,,,,,,,,,,,0.9.0,VerySquishyJump,,,
Squirrel Archer,310,Epic,Ranged Weapon,"Pet,Nature,Effect",no,9,0,2,3,3.2,85,,,,,15:petspeed,,,,,,,,,,Buff,,Buff,,,,,,,,,no,,,,0.9.21,VerySquishyJump,,,
Rat Chef,311,Rare,Pet,Nature,no,8,,,,7,,,,,,15:petspeed,2:stamina,1:empower,,,,,,,,"Empower,Regeneration",,,,,,,,,,,no,,,,0.9.21,VerySquishyJump,,,
Hyper Hedgehog,423,Godly,Pet,"Holy,Nature",no,12,,10,10,5,,,,,35,15:petspeed,0.5:dam_spikes,70:healtht,4:spikes,1:dam_empower,,,,,,"Spikes,Empower",,,,,3:empower,,,,,,no,,,,1.0.0,VerySquishyJump,,Hyper,
Storage Coffin,68,Unique,Bag,,Reaper,20,,,,,,22,,,,,,,,,Wood,,,,,Poison,,,,,,,,,,,,,,,0.1.0,,,,
Relic Case,253,Unique,Bag,,Reaper,12,,,,2.3,,,,,,5:bonusdam,5:stamina,,,,Wood,,,,,,,,,,,,,,,,no,,,,0.9.16,,,,
Fly Agaric,21,Rare,Food,Nature,Reaper,3,,,,3.5,,,,,,1,,,,,Squishy,,Demonic Flask>Doom Cap,,,Poison,,,,,,,,,,,,,,,0.1.0,VerySquishyJump,Light,Poison,
Deck of Cards,75,Rare,Accessory,,Reaper,3,,,,,,,,50,,2,,,,,Paper,,,,Singular,Lucky,,,,,,,,,,,,,,,0.3.4,,,,
The Lovers,77,Common,Card,,no,3,,,,1.5,,,,,,7:dam,2:regen,100:lifesteal,6:healamp,,Paper,,,Deck of Cards,Lifesteal,Regeneration,,,,,,,,,,,,,,,0.3.4,,Floaty,,
Ace of Spades,76,Rare,Card,,no,3,,,,1.5,,,,,,0,2:luck,3:spikes,,,Paper,,,Deck of Cards,,"Spikes,Lucky",,,,,,,,,,,,,,,0.3.4,,Floaty,,
Reverse,241,Rare,Card,,no,3,,,,1.5,,,,,,3:reflect,3:steal,,,,Paper,,,Deck of Cards,,Buff,,,,,,,,,,,no,,,,0.9.0,,Floaty,,
White-Eyes Blue Dragon,78,Epic,Card,Ice,no,4,,,,1.5,,,,,12,6:blockpercard,4:cold,10:damfactor,,,Paper,,,Deck of Cards,,Cold,,,,,,,,,,,,,,,0.3.4,,Floaty,,
The Fool,240,Epic,Card,,no,1,,,,1.5,,,,,,50:revealspeed,1:empower,,,,Paper,,,Deck of Cards,,Empower,,,,,,,,,,,,,,,0.8.2,,Floaty,,
Holo Fire Lizard,79,Legendary,Card,Fire,no,5,,12,12,1.5,,,,,,4:dampercard,4:heat,8:damfactor,,,Paper,,,Deck of Cards,,Heat,,,,,,,,,,,,,,,0.3.4,,Floaty,,
Joker,245,Godly,Card,,no,4,,,,1.5,,,,,,7:buffs,25:stamina,2:cards,,,Paper,,,Deck of Cards,,Buff,,,,,,,,,,,no,,,,0.9.2,,Floaty,,
Darkest Lotus,80,Godly,Card,"Magic,Dark",no,5,,,,1.5,,,,,,4:mana,3:buffremoval,,,,Paper,,Blueberries+Blueberries>Death Lotus,Deck of Cards,,Mana,,Buff,,,,,,,,,,,,,0.3.4,,Floaty,,
Toad,274,Epic,Pet,"Magic,Nature",Reaper,6,,,,3.8,,,,,,10:gained,12:heal,10:used,1:luck,1:mana,,,"Fly Agaric>Poison Frog,Crown>Frog Prince",,,"Mana,Lucky",,,2,,1:luck2,1:mana2,,,,,no,,,,0.9.12,VerySquishyJump,,,
Death Scythe,44,Legendary,Melee Weapon,Dark,Reaper,12,0.8,6,10,1.4,90,65:crit,,,,25:poisont,,,,,Metal,,Whetstone>War Scythe,,,,,,2,,,,,,,,,,,,0.1.0,Slash,Dense,,
Demonic Flask,65,Godly,Potion,Dark,Reaper,7,,,,,,,,,,50,0.3:dam,,,,Glass,,Corrupted Crystal>Strong Demonic Flask,,,,,,5,,,,,,,,,,,,0.1.0,,,,
Poison Goobert,38,Epic,Pet,Nature,no,12,,,,,,,,,,5:activations,10:heal,4:poison,,,Slime,,Light Goobert+Steel Goobert+Blood Goobert>Rainbow Goobert,,,Poison,,,,,,,,,,,,,,,0.3.0,Squish,Slime,Poison,
Staff of Unhealing,56,Godly,Weapon,"Magic, Dark",no,17,1.3,,,2,,,,,,30:heal,4:manat,0,2:dur_unhealing,100:unhealing,Wood,,,,Staff,,Mana,,,,,,,,,,,,,,0.3.1,Wave,,,
Strong Pestilence Flask,170,Legendary,Potion,,no,10,,,,,,,,,,3,1,3.5:delay,3,,Glass,,,,,Poison,,,,,,,,,,,,,,,0.6.3,,,Poison,
Ruby Chonk,111,Godly,Ranged Weapon,"Pet,Fire,Effect",no,15,0,15,20,2.2,90,30,,,,12:heatt,0.4:dur_stun,,,,Dragon,,,,Dragon,Heat,,,,,,,,,,,,,,,0.3.6,SquishyJump,VeryDense,,
Doom Cap,295,Godly,Food,Dark,no,10,,,,3.1,,,,,,3:poison,10:healreduction,,,,Squishy,,,,,Poison,,,,,,,,,,,no,,,,0.9.20,VerySquishyJump,,,
Crow,421,Godly,Pet,"Nature,Dark,Musical",no,13,,,,3,,6,,,,6:speed,10:max,1:luck,,,,,,,,Lucky,,Lucky,,,,,,,,,no,,,,1.0.0,VerySquishyJump,,,
Poison Frog,427,Legendary,Pet,"Magic,Nature",no,9,,,,2.1,,,,,,10:gained,1:mana,2:poison,1:mana2,2:poison2,,,,,,"Poison,Mana",,,,,10:used,12:heal,,,,,no,,,,1.0.0,VerySquishyJump,,Poison,
Rainbow Goobert,74,Godly,Pet,"Vampiric, Holy, Nature",no,54,,,,,,,,,20,9:activations,40:heal,2,3:blind,4,Slime,,,,,"Poison, Vampirism,Blind",,,,,,,,,,,,,,,0.3.3,Squish,Slime,Rainbow,
Cursed Hair Comb,143,Unique,Accessory,Vampiric,Reaper>Vampiress,10,,,,,,,,,,6:vampirism,25:lifesteal,30:healamp,,8:lifesteal_scaling,Jewelry,,,,,Vampirism,,,,,,,,,,,,,,,0.5.0,SquishyJump,,,
Mr Struggles,144,Unique,Accessory,Dark,Reaper>Witch,10,,,,3,,25,,20,,1:fatigue,50:healtht,100:speedbonus,8:dur_speed,,Leather,,,,,Debuff,,,,,,,,,,,,,,,0.5.0,Struggle,Plush,Shaky,
