key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:66:Fly Agaric>,Fly Agaric,Fliegenpilz,致幻蘑菇,ベニテングダケ,광대버섯,致幻蘑菇,Amanite tue-mouches,Мухомор,Agárico Voador,Amanita muscaria
"<!MissingKey:67:$t[Health drops below $p1%:] Consume this and heal for $p2, gain $p4 $regen and cleanse $p3 $poison.>","$t[Health drops below $p1%:] Consume this and heal for $p2, gain $p4 $regen and cleanse $p3 $poison.","$t[Leben fällt unter $p1%:] Trinke aus und heile $p2, erhalte $p4 $regen und entferne $p3 $poison.",$t[当你的生命值低于$p1%时：]消耗此魔药，恢复$p2点生命值并获得$p4层$regen，净化$p3层$poison。,$t[体力が$p1%未満に低下時：]このアイテムを消費して、体力を$p2回復し、$p4 $regen を獲得し、$p3 $poison を解除する,"$t[체력이 $p1% 아래로 떨어질 시:] 포션을 소모해 체력을 $p2 회복하고, $regen을 $p4 획득하고, $poison을 $p3 정화합니다.",$t[當你的生命值低於$p1%時：]消耗此魔藥，恢復$p2點生命值並獲得$p4層$regen，淨化$p3層$poison。,"$t[PV inférieurs à $p1 % :] consommez ceci et guérissez de $p2, gagnez $p4 $regen et purgez $p3 $poison.","$t[При здоровье ниже $p1%:] расходуется, чтобы восстановить $p2 ед. здоровья, добавить $p4 $regen и снять $p3 $poison.","$t[Vida abaixo de $p1%:] Consuma isto e restaura $p2 de vida, ganhe $p4 $regen e purifica $p3 $poison.","$t[Si los PS caen por debajo del $p1 %] Consume esto para recuperar $p2 PS, obtener $p4 $regen y eliminar $p3 $poison."
<!MissingKey:68:$affected $h[Stones] above can be thrown repeatedly.>,$affected $h[Stones] above can be thrown repeatedly.,$affected $h[Steine] können wiederholt geworfen werden.,上方$affected的$h[石头]可以反复投掷。,上の$affectedにある$h[石]を繰り返し投げられるようにする,$affected에 위치한 $h[돌]은 계속해서 던질 수 있게 됩니다.,上方$affected的$h[石頭]可以反覆投擲。,Les $h[Pierres] $affected ci-dessus peuvent être lancées à plusieurs reprises.,$affected $h[камни] над мешком могут быть брошены повторно.,Estas $h[Pedras] $affected podem ser jogadas várias vezes.,Las $affected $h[Piedras] de arriba se pueden lanzar continuamente.
<!MissingKey:69:$t[For every $p1 damage $affected $h[Weapon] deals:] Inflict $h[+1] $poison on the next attack. >,"$t[For every $p1 damage $affected $h[Weapon] deals:] Inflict $h[+1] $poison on the next attack. 

 Deals +$p2 damage per $poison of your opponent.","$t[Für alle $p1 Schaden, die die $affected $h[Waffe] verursacht:] Verursache $h[+1] $poison beim nächsten Angriff. 

 Verursacht +$p2 Schaden pro $poison auf deinem Gegner.","$t[$affected的$h[武器]每造成$p1点伤害：]颠茄剧毒弓的下一次攻击向对手施加$h[+1]层$poison。

对手身上每有一层$poison，则颠茄剧毒弓造成的伤害+$p2。","$t[$affectedにある$h[武器]で$p1ダメージ与える毎：] 次の攻撃で付与する $poison $h[+1] 

 相手の $poison 1スタックにつき与ダメージ +$p2","$t[$affected에 위치한 $h[무기가] 피해를 $p1 가할 시:] 다음 공격이 $poison을 $h[1] 추가로 부여합니다.

상대에게 부여된 $poison마다 가하는 피해가 $p2 증가합니다.","$t[$affected的$h[武器]每造成$p1點傷害：]顛茄劇毒弓的下一次攻擊施加$h[+1]層$poison。
對手身上每有一層$poison，則顛茄劇毒弓造成的傷害+$p2點。","$t[Tous les $p1 dégâts d'$h[Arme] $affected infligés :] infligez $h[+1] $poison lors de la prochaine attaque. 

 Inflige +$p2 de dégâts par $poison de votre adversaire.","$t[За каждые $p1 ед. урона, нанесенного $affected $h[оружием]:] следующая атака наложит на противника $h[+1] $poison. 

 Наносит +$p2 урона за каждый эффект $poison на противнике.","$t[A cada $p1 de dano causado pela $h[Arma] $affected:] Inflige $h[+1] $poison no próximo ataque. 

 Causa +$p2 de dano por $poison do seu oponente.","$t[Por cada $p1 de daño que inflija el $affected $h[Arma]:] El siguiente ataque con Beso de belladona inflige $h[+1] $poison. 

 Inflige $p2 más de daño por cada $poison del rival."
<!MissingKey:70:$t[$p1 $affected item activations:] Heal for $p2.>,$t[$p1 $affected item activations:] Heal for $p2.,$t[$p1 $affected Gegenstand-Aktivierungen:] Heile für $p2.,$t[$affected的物品激活达到$p1次：]恢复$p2点生命值。,$t[$affectedにあるアイテム$p1回発動時：]体力を$p2回復する,$t[$affected에 위치한 아이템이 $p1회 발동 시:] 체력을 $p2 회복합니다.,$t[$affected的物品啟動達到$p1次：]恢復$p2點生命值。,$t[En activant l'objet $affected $p1 fois :] guérissez de $p2.,$t[При срабатывании $p1 $affected предметов:] восстанавливает $p2 ед. здоровья.,$t[$p1 ativações de item $affected:] Restaura $p2 de vida.,$t[Al activar $p1 $affected objetos:] Recupera $p2 PS.
<!MissingKey:71:Torch>,Torch,Fackel,火把,たいまつ,횃불,火把,Torche,Факел,Tocha,Antorcha
"<!MissingKey:72:$t[Health drops below $p1%:] \~Gain $p2 $lucky, $p3 $empower, and $block $bl (once).>","$t[Health drops below $p1%:] \~Gain $p2 $lucky, $p3 $empower, and $block $bl (once).","$t[Leben fällt unter $p1%:] Erhalte $p2 $lucky, $p3 $empower und $block $bl (einmalig).",$t[当你的生命值低于$p1%时：]获得$p2点$lucky和$block点$bl，还有$p3层$empower (单次触发)。,$t[体力が$p1%未満に低下時：]$p2 $lucky 、$p3 $empower 、$block $bl を獲得する（1回のみ）,"$t[체력이 $p1% 아래로 떨어질 시:] $lucky을 $p2, $empower를 $p3, $bl를 $block 획득합니다 (한 번).",$t[當你的生命值低於$p1%時：]獲得$p2點$lucky和$block點$bl，還有$p3層$empower（單次觸發）。,"$t[PV inférieurs à $p1 % :] gagnez $p2 $lucky, $p3 $empower, et $block $bl (une fois).","$t[При здоровье ниже $p1%:] добавляет $p2 $lucky, $p3 $empower и $block $bl (один раз за бой).","$t[Vida abaixo de $p1%:] Ganhe $p2 $lucky, $p3 $empower e $block $bl (uma vez).","$t[Si los PS caen por debajo del $p1 %:] Obtiene $p2 $lucky, $p3 $empower y $block $bl (una vez)."
<!MissingKey:73:Flawed Emerald>,Flawed Emerald,Fehlerhafter Smaragd,劣质翡翠,傷物のエメラルド,금이 간 에메랄드,劣質綠寶石,Émeraude médiocre,Колотый изумруд,Esmeralda Polida,Esmeralda imperfecta
<!MissingKey:74:$red[$affected $melee-$h[Weapons] deal -$p1 damage.] >,"$red[$affected $melee-$h[Weapons] deal -$p1 damage.] 

 Deals +$p2 damage per $affected $melee-$h[Weapon].","$affected $melee-$h[Waffen] verursachen -$p1 Schaden. 

 Verursacht +$p2 Schaden pro \~$affected $melee-$h[Waffe].","$red[$affected的$melee $h[武器]伤害-$p1点]。

但是每有一个$affected的$melee $h[武器]，此武器本身的伤害+$p2点。","$red[$affectedにある $melee $h[武器]の与ダメージ -$p1] 

$affectedにある $melee $h[武器]1個につき与ダメージ +$p2",$red[$affected에 위치한 $melee $h[무기]의 피해량이 $p1 감소합니다.] $affected에 위치한 $melee $h[무기]마다 피해량이 $p2 증가합니다.,$affected的$h[近戰武器]傷害-$p1點。但是每有一個$affected的$h[近戰武器]，此武器本身的傷害+$p2點。,"$redLes $h[Armes] $melee $affected infligent -$p1 de dégâts. 

 Inflige +$p2 de dégâts par $h[Arme] $melee $affected.","$red [$affected $melee $h[оружие] наносит -$p1 ед. урона.] 

 Наносит +$p2 ед. урона за каждое $affected $melee $h[оружие].","$red[$h[Armas]-$melee $affected infligem -$p1 de dano.] 

 Causa +$p2 de dano por $h[Arma]-$melee $affected.","$red[Las $affected $h[Armas] $melee infligen $p1 menos de daño.] 

 Inflige $p2 más de daño por cada $affected $h[Arma] $melee."
<!MissingKey:75:Mr. Struggles>,Mr. Struggles,Weichbert Seelenpein,抱抱先生,ミスター・ストラグルズ,버둥 씨,抱抱先生,M Rixe,Мистер Обнимашка,Sr. Descontente,Sr. Penurias
<!MissingKey:76:Regular Emerald>,Regular Emerald,Regulärer Smaragd,普通翡翠,普通のエメラルド,평범한 에메랄드,普通綠寶石,Émeraude ordinaire,Изумруд,Esmeralda Comum,Esmeralda normal
<!MissingKey:77:$t[Start of battle:] Gain $p1 $lucky. $t[$affected $h[Weapon] crits:] Attack twice on the next attack.>,$t[Start of battle:] Gain $p1 $lucky. $t[$affected $h[Weapon] crits:] Attack twice on the next attack.,$t[Kampfbeginn:] Erhalte $p1 $lucky. $t[$affected $h[Waffe] trifft kritisch:] Führe den nächsten Angriff doppelt aus.,$t[战斗开始时：]获得$p1点$lucky。$t[$affected的$h[武器]暴击时：]天命弓下次攻击计算两次。,$t[バトル開始時：] $p1 $lucky を獲得する $t[$affectedにある$h[武器]のクリティカル時：]次の攻撃が2回攻撃になる,$t[전투 시작 시:] $lucky을 $p1 획득합니다. $t[$affected에 위치한 $h[무기] 치명타 시:] 다음에 두 번 공격합니다.,$t[戰鬥開始時：]獲得$p1點$lucky。$t[$affected的$h[武器]暴擊時：]天命弓下次攻擊計算兩次。,$t[Au début du combat :] gagnez $p1 $lucky. $t[Par coup critique de l'$affected $h[Arme] :] attaquez deux fois lors de la prochaine attaque.,$t[Начало боя:] добавляет $p1 $lucky. $t[При критическом уроне $affected $h[оружия]:] следующая атака нанесет урон дважды.,$t[Início da batalha:] Ganha $p1 $lucky. $t[Críticos de $h[Arma] $affected:] Ataca duas vezes da próxima vez.,$t[Al comienzo de la batalla:] Obtiene $p1 $lucky. $t[Al infligir crítico con un $affected $h[Arma]:] El siguiente ataque golpea dos veces.
<!MissingKey:78:Can only be thrown once per battle. $t[On hit:] Inflict $p1 $cold. $t[$affected $h[Weapon] hits:] Inflict $p2 $cold.>,Can only be thrown once per battle. $t[On hit:] Inflict $p1 $cold. $t[$affected $h[Weapon] hits:] Inflict $p2 $cold.,Kann einmal pro Kampf geworfen werden. $t[Bei Treffer:] Verursache $p1 $cold. $t[$affected $h[Waffe] trifft:] Verursache $p2 $cold.,每场战斗只能投掷一次。$t[击中对手时：]施加$p1层$cold。$t[$affected的$h[武器]击中对手：]施加$p2层$cold。,1回のバトルで1度だけ投げられる $t[ヒット時：]$p1 $cold を付与する $t[$affectedにある$h[武器]の攻撃ヒット時：]$p2 $cold を付与する,전투당 한 번 던질 수 있습니다. $t[적중 시:] $cold를 $p1 부여합니다. $t[$affected에 위치한 $h[무기] 적중 시:] $cold를 $p2 부여합니다.,每場戰鬥只能投擲一次。$t[命中時：]施加$p1層$cold。$t[$affected的$h[武器]命中時：]施加$p2層$cold。,Ne peut être lancée qu'une seule fois par combat. $t[Par coup :] infligez $p1 $cold. $t[Par coup de l'$h[Arme] $affected :] infligez $p2 $cold.,Можно бросить только один раз за бой. $t[При попадании:] накладывает $p1 $cold. $t[При попадании $affected $h[оружием]:] накладывает $p2 $cold.,Pode ser jogada apenas uma vez por batalha. $t[Ao acertar:] Inflige $p1 $cold. $t[Acertos de $h[Arma] $affected:] Inflige $p2 $cold.,Se puede lanzar una vez por batalla. $t[Al golpear:] Inflige $p1 $cold. $t[Al golpear el $affected $h[Arma]:] Inflige $p2 $cold.
<!MissingKey:79:$t[On reveal:] >,"$t[On reveal:] 
 Increase $effect-damage by $p_damfactor%. 
 Deal $dam $effect-damage + $p1 for each card before. 
 Gain $p2 $heat.","$t[Beim Aufdecken:] 
 Du verursachst +$p_damfactor% $effect-Schaden. 
 Verursache $dam + $p1 $effect-Schaden für jede vorhergehende Karte. 
 Erhalte $p2 $heat.","$t[翻开时：] 
 增加$p_damfactor%的$effect伤害。 
造成$dam点$effect伤害，之前的每张卡牌提供$p1点伤害。 
获得$p2层$heat。","$t[めくる時：]
与える $effect ダメージ +$p_damfactor% 
 $dam $effect ダメージを与える（前にめくったカード1枚につき +$p1ダメージ） 
$p2 $heat を獲得する","$t[공개 시:]
가하는 $effect 피해가 $p_damfactor%증가합니다.
$effect 피해를 $dam 가하며 이전에 있었던 카드마다 피해를 $p1 추가로 획득합니다.
$heat를 $p2 부여합니다.","$t[翻開時：] 
 增加$p_damfactor%的$effect傷害。 
造成$dam點$effect傷害，先前的每張卡牌提供$p1點傷害。 
獲得$p2層$heat。","$t[Par tirage :] 
 augmentez les dégâts $effect à hauteur de $p_damfactor %. 
 Infligez $dam de dégâts $effect + $p1 pour chaque carte avant. 
 Gagnez $p2 $heat.","$t[При раскрытии:] 
 Повышает $effect-урон на $p_damfactor%. 
 Наносит $dam $effect-урона + $p1 за каждую предшествующую карту. 
 Добавляет $p2 $heat.","$t[Ao revelar:] 
 Aumenta o dano de $effect em $p_damfactor%. 
 Causa $dam de dano de $effect + $p1 por cada carta anterior. 
 Ganha $p2 $heat.","$t[Al revelarse:] 
 Aumenta el daño de $effect un $p_damfactor %. 
 Inflige $dam de daño de $effect +$p1 de daño por cada carta anterior. 
 Obtiene $p2 $heat."
<!MissingKey:80:Ace of Spades>,Ace of Spades,Pik Ass,黑桃A,スペードのエース,스페이드 에이스,黑桃A,As de pique,«Пиковый туз»,Ás de Espadas,As de espadas
<!MissingKey:81:Rainbow Goobert Megasludge Alphapuddle>,Rainbow Goobert Megasludge Alphapuddle,Regenbogen- Schlotzbert Alphapampe,彩虹究极布丁黏黏,レインボー・スラバート・マッド・アルファ,레인보우 슬돌이 메가 알파,彩虹究極布丁黏呼呼,Viskeu arc-en-ciel alphaflaque mégadoueux,Радужный супер-желейный ультра-Слаймер,Gosberto Arco-Íris Alfatina Megalenga,Viscosino arcoíris requetechupi
<!MissingKey:82:Lucky Clover>,Lucky Clover,Glücksklee,幸运四叶草,幸運のクローバー,행운의 클로버,四葉幸運草,Trèfle porte-bonheur,Клевер удачи,Trevo da Sorte,Trébol de la suerte
<!MissingKey:83:Add $h[2] backpack slots. >,"Add $h[2] backpack slots. 

 Items inside trigger $p1% faster.","Fügt $h[2] Rucksackplätze hinzu. 

 Enthaltene Gegenstände aktivieren $p1% schneller.","增加$h[2]格背包槽位。

包内的物品触发快$p1%。","バックパックのスロットを$h[2]追加する

中にあるアイテムの使用速度が$p1%上がる","배낭 슬롯을 $h[2]개 추가합니다.

내부에 위치한 아이템이 $p1% 빠르게 발동합니다.","增加$h[2]格背包欄位。
背包內的物品觸發速度加快$p1%。","Ajoutez $h[2] emplacements de sac à dos. 

 Les objets à l'intérieur se déclenchent $p1 % plus vite.","Добавляет $h[2] слота к рюкзаку. 

 Предметы в этой сумке будут срабатывать на $p1% чаще.","Adiciona $h[2] espaços à mochila. 

 Itens dentro ativam $p1% mais rápido.","Añade $h[2] espacios a la mochila. 

 Los objetos en su interior se activan un $p1 % más rápido."
<!MissingKey:84:You have +$chance% chance to resist debuffs for each $affected $nature-item. $t[$spikes gained:] Inflict $p4 $poison. $t[Opponent reaches $p1 $poison:] They take +$p2% damage.>,You have +$chance% chance to resist debuffs for each $affected $nature-item. $t[$spikes gained:] Inflict $p4 $poison. $t[Opponent reaches $p1 $poison:] They take +$p2% damage.,"$chance% Chance, Debuffs zu vermeiden für jeden $affected $nature-Gegenstand. $t[$spikes erzeugt:] Verursache $p4 $poison. $t[Gegner erreicht $p1 $poison:] Er erhält +$p2% Schaden.",每有一个$affected的$nature物品，就会获得$chance%的几率抵抗减益效果。$t[获得$spikes时：]向对手施加$p4层$poison。$t[对手拥有至少$p1层$poison时：]受到的伤害+$p2%。,$affectedにある $nature アイテム1個につきデバフ無効化確率 +$chance% $t[$spikes 獲得毎：]$p4 $poison を付与する $t[相手が$p1 $poison 到達時：]相手の受けるダメージ +$p2%,$affected에 위치한 $nature 아이템마다 $chance%의 확률로 디버프에 저항합니다. $t[$spikes 획득 시:] $poison을 $p4 부여합니다. $t[상대의 $poison이 $p1에 도달 시:] 상대가 피해를 $p2% 추가로 입습니다.,每有一個$affected的$h[自然]物品，就會獲得$chance%的機率抵抗減益效果。$t[獲得$spikes時：]向對手施加$p4層$poison。$t[對手擁有至少$p1層$poison時：]受到的傷害+$p2%。,Vous avez +$chance % de chance de résister aux malus pour chaque objet $nature $affected. $t[En gagnant $spikes :] infligez $p4 $poison. $t[L'adversaire atteignant $p1 $poison :] l'adversaire subit +$p2 % de dégâts.,За каждый $affected $nature предмет герой получает шанс +$chance% игнорировать негативные эффекты. $t[При получении $spikes:] накладывает на противника $p4 $poison. $t[У противника не менее $p1 $poison:] противник получает +$p2% урона.,Você tem +$chance% de chance de resistir a debuffs por cada item-$nature $affected. $t[$spikes ganho:] Inflige $p4 $poison. $t[Oponente alcança $p1 $poison:] Eles sofrem +$p2% de dano.,Se tiene un $chance % de probabilidad de resistir desventajas por cada objeto $nature $affected. $t[Al ganar $spikes:] Inflige $p4 $poison. $t[Si el rival alcanza $p1 $poison:] Recibe un $p2 % más de daño.
<!MissingKey:85:Death Scythe>,Death Scythe,Todessense,死神镰刀,死神の鎌,사신의 낫,死神鐮刀,Faux de faucheuse,Коса смерти,Gadanha da Morte,Guadaña
"<!MissingKey:86:$t[On attack:] Use $p1 $mana to deal +$p2 damage and for the next $p3s, all your attacks are critical.>","$t[On attack:] Use $p1 $mana to deal +$p2 damage and for the next $p3s, all your attacks are critical.","$t[Bei Angriff:] Nutze $p1 $mana, um +$p2 Schaden zu verursachen; für die nächsten $p3s sind alle dein Angriffe kritisch.",$t[攻击时：]消耗$p1点$mana造成$p2点额外伤害。接下来$p3s内所有攻击都将是暴击。,$t[攻撃時：]$p1 $mana を消費して、与ダメージ +$p2、$p3秒間の全攻撃をクリティカルにする,"$t[공격 시:] $mana를 $p1 사용해 피해량이 $p2 증가하며, 다음 $p3초 동안 모든 공격이 치명타가 됩니다.",$t[攻擊時：]接下來$p3秒內，消耗$p1點$mana造成$p2點額外傷害。所有攻擊都將是暴擊。,"$t[Par attaque :] utilisez $p1 $mana pour infliger +$p2 de dégâts et pendant les $p3 s suivantes, toutes vos attaques sont critiques.","$t[При атаке:] использует $p1 $mana, чтобы нанести +$p2 ед. урона. Любые атаки в течение $p3 сек. будут критическими.","$t[Ao atacar:] Gasta $p1 $mana para causar +$p2 de dano, e nos $p3 s seguintes todos os seus ataques serão críticos.","$t[Al atacar:] Usa $p1 $mana para infligir +$p2 de daño y durante los siguientes $p3 s, todos los ataques son críticos."
<!MissingKey:87:Hero Longsword>,Hero Longsword,Heldenlangschwert,英雄长剑,英雄のロングソード,영웅의 롱소드,英雄長劍,Épée longue de héros,Меч героя,Espada Longa do Herói,Mandoble de héroe
<!MissingKey:88:Impractically Large Greatsword>,Impractically Large Greatsword,Übergroßes Großschwert,笨重巨剑,"あまりにも大きすぎる
グレートソード",터무니없이 큰 대검,笨重巨劍,Épée longue démesurée,Неприлично огромный меч,Montante Inconvenientemente Grande,Espadón inconmensurable
<!MissingKey:89:Artifact Stone: Cold>,Artifact Stone: Cold,Artefaktstein: Kälte,遗迹石：寒冷,古代の石：フリーズ,아티팩트석: 한기,神器石：寒冷,Pierre d'artefact : Froideur,Артефакт: Холод,Pedra de Artefato: Frio,Piedra artefacto: Frío
<!MissingKey:90:Nocturnal Lock Lifter>,Nocturnal Lock Lifter,Blutrünstige Bürste,吸血鬼梳子,夜闇のヘアコーム,악몽의 머리빗,吸血鬼梳子,Croche-serrure nocturne,Ночная шпилька,Pente Vampírico,Peineta noctámbula
<!MissingKey:91:$t[On hit:] Gain $h[1] $heat. When you have at least $p1 $heat: $chance% chance to $stun[stun] your opponent for $p2s.>,$t[On hit:] Gain $h[1] $heat. When you have at least $p1 $heat: $chance% chance to $stun[stun] your opponent for $p2s.,"$t[Bei Treffer:] Erhalte $h[1] $heat. Bei mindestens $p1 $heat: $chance% Chance, $p2s $stun[Benommenheit] auszulösen.",$t[击中对手时：]获得$h[1]层$heat。当你拥有$p1层$heat时，将有$chance%的几率$stun[眩晕]对手$p2s。,$t[ヒット時：]$h[1] $heat を獲得する。$p1 $heat以上ある場合：$chance%の確率で相手を$p2秒間$stun[スタン]させる,$t[적중 시:] $heat를 $h[1] 획득합니다. $p1 이상의 $heat를 보유 시: $chance%의 확률로 상대를 $p2초 동안 $stun[기절]시킵니다.,$t[命中時：]獲得$h[1]層$heat。當你擁有$p1層$heat時，有$chance%的機率$stun[暈眩]對手$p2秒。,$t[Par coup :] gagnez $h[1] $heat. Lorsque vous avez au moins $p1 $heat : $chance % de chance d'$stun[étourdir] votre adversaire pendant $p2 s.,$t[При попадании:] добавляет $h[1] $heat. Когда наберется $p1 $heat: шанс $chance% $stun[оглушить] противника на $p2 сек.,$t[Ao acertar:] Ganha $h[1] $heat. Se você tiver ao menos $p1 $heat: $chance% de chance de $stun[atordoar] o oponente por $p2 s.,"$t[Al golpear:] Obtiene $h[1] $heat. Cuando se tiene al menos $p1 $heat, $chance % de probabilidad de $stun[aturdir] al rival durante $p2 s."
<!MissingKey:92:Spear>,Spear,Speer,长矛,スピア,창,長矛,Lance,Копье,Lança,Lanza
<!MissingKey:93:Healing Herbs>,Healing Herbs,Heilkräuter,治疗草药,癒やしのハーブ,치유 허브,治療草藥,Herbes médicinales,Целебные травы,Ervas Curativas,Hierbas medicinales
<!MissingKey:94:You have a $chance% chance to resist debuffs for each $lucky. $t[Start of battle:] Gain $p2 $heat and $p3 $lucky for each $affected $magic-item. >,"You have a $chance% chance to resist debuffs for each $lucky. $t[Start of battle:] Gain $p2 $heat and $p3 $lucky for each $affected $magic-item. 

 Deals +$p1 damage per $heat. ","Du hast $chance% Chance pro $lucky, einem Debuff zu widerstehen. $t[Kampfbeginn:] Erhalte $p2 $heat und $p3 $lucky für jeden $affected $magic-Gegenstand.  

 Verursacht +$p1 Schaden pro $heat.","每层$heat将获得+$p1点伤害加成。

每有一点$lucky将获得$chance%的几率抵挡减益效果。$t[战斗开始时：]每个$affected的$magic物品将获得$p2层$heat和$p3点$lucky。","$heat 1スタックにつき与ダメージ +$p1 

 $lucky 1スタックにつきデバフ無効化確率 +$chance% $t[バトル開始時：]$affectedにある $magic アイテム1個につき$p2 $heat と$p3 $lucky を獲得する","$heat마다 가하는 피해가 $p1 증가합니다.

보유한 $lucky마다, $chance%의 확률로 디버프에 저항합니다. $t[전투 시작 시:] $affected에 위치한 $magic 아이템마다 $heat를 $p2, $lucky을 $p3 획득합니다.","每層$heat將獲得+$p1點傷害加成。
每點$lucky將獲得$chance%的機率抵擋減益效果。$t[戰鬥開始時：]每個$affected的$h[魔法]物品將獲得$p2層$heat和$p3點$lucky。","Inflige +$p1 de dégâts par $heat. 

 Vous avez $chance % de chance de résister aux malus pour chaque $lucky. $t[Au début du combat :] gagnez $p2 $heat et $p3 $lucky pour chaque objet $magic $affected.","Каждый эффект $heat повышает урон на $p1 ед. 

 Каждый эффект $lucky повышает шанс игнорировать негативные эффекты на $chance%. $t[Начало боя:] за каждый $affected $magic предмет добавляет $p2 $heat и $p3 $lucky.","Causa +$p1 de dano por $heat. 

 Você tem uma chance de $chance% de resistir a debuffs por cada $lucky. $t[Início da batalha:] Ganha $p2 $heat e $p3 $lucky por cada item-$magic $affected.","Inflige +$p1 de daño por cada $heat. 

 $chance % de probabilidad de resistir desventajas por cada $lucky. $t[Al comienzo de la batalla:] Obtiene $p2 $heat y $p3 $lucky por cada objeto $magic $affected."
<!MissingKey:95:$t[Every $cds:] Gain $block $bl. $chance% chance to remove $p1 $vampirism from your opponent.>,$t[Every $cds:] Gain $block $bl. $chance% chance to remove $p1 $vampirism from your opponent.,"$t[Alle $cds:] Erhalte $block $bl, $chance% Chance, $p1 $vampirism von deinem Gegner zu entfernen.",$t[每$cds：]获得$block点$bl并有$chance%的几率移除对手$p1层$vampirism效果。,$t[$cd秒毎：]$block $bl を獲得する。$chance%の確率で相手から$p1 $vampirism を除去する,$t[$cd초마다:] $bl를 $block 획득합니다. $chance%의 확률로 상대의 $vampirism을 $p1 제거합니다.,$t[每$cd秒：]獲得$block點$bl並有$chance%的機率移除對手$p1層$vampirism效果。,$t[Toutes les $cd s :] gagnez $block $bl. $chance % de chance de retirer $p1 $vampirism de votre adversaire.,$t[Раз в $cd сек.:] добавляет $block $bl. Шанс $chance% снять $p1 $vampirism с противника.,$t[A cada $cd s:] Ganhe $block $bl. $chance% de chance de remover $p1 $vampirism do oponente.,$t[Cada $cd s:] Obtiene $block $bl $chance % de probabilidad de eliminar $p1 $vampirism del rival.
<!MissingKey:96:Poison Ivy>,Poison Ivy,Giftefeu,剧毒常春藤,ドクウルシ,독담초,劇毒常春藤,Lierre vénéneux,Ядовитый плющ,Hera Venenosa,Hiedra venenosa
<!MissingKey:97:The Lovers>,The Lovers,Die Liebenden,恋人,恋人のカード,연인,戀人,Les Amants,«Влюбленные»,Os Enamorados,Los Amantes
<!MissingKey:98:$t[Start of battle:] The $affected $h[Weapon] gains $p1 damage. The $affected2 item triggers $p2% faster. $t[On hit:] Gain $p3 damage and attack $p4% faster.>,$t[Start of battle:] The $affected $h[Weapon] gains $p1 damage. The $affected2 item triggers $p2% faster. $t[On hit:] Gain $p3 damage and attack $p4% faster.,"$t[Kampfbeginn:] Die $affected $h[Waffe] verursacht +$p1 Schaden. 
 Der $affected2 Gegenstand aktiviert $p2% schneller. $t[Bei Treffer:] Erhalte +$p3 Schaden und greife $p4% schneller an.",$t[战斗开始时：]$affected的$h[武器]造成的伤害+$p1。$affected2的物品触发快$p2%。$t[击中对手时：]获得伤害+$p3与触发快$p4%加成。,$t[バトル開始時：]$affectedにある$h[武器]のダメージ値が$p1増える。 $affected2にあるアイテムの使用速度が$p2%上がる $t[ヒット時：]ダメージ値が$p3増え、使用速度が$p4%上がる,$t[전투 시작 시:] $affected에 위치한 $h[무기]가 가하는 피해가 $p1 증가합니다. $affected2에 위치한 아이템이 $p2% 빠르게 발동합니다. $t[적중 시:] 가하는 피해가 $p3 증가하고 $p4% 빠르게 발동합니다.,$t[戰鬥開始時：]$affected的$h[武器]造成的傷害+$p1。$affected2的物品觸發速度加快$p2%。$t[命中時：]獲得傷害+$p3點與觸發速度加快$p4%的加成。,$t[Au début du combat :] l'$h[Arme] $affected gagne $p1 de dégâts. L'objet $affected2 se déclenche $p2 % plus vite. $t[Par coup :] gagne +$p3 de dégâts et se déclenche $p4 % plus vite.,$t[Начало боя:] $affected $h[оружие] наносит +$p1 ед. урона. $affected2 предметы срабатывают на $p2 % чаще. $t[При попадании:] наносит +$p3 ед. урона и срабатывает на $p4% чаще.,$t[Início da batalha:] A $h[Arma] $affected ganha +$p1 de dano. O item $affected2 ativa-se $p2% mais rápido. $t[Ao acertar:] Ganhe +$p3 de dano e ativa-se $p4% mais rápido.,$t[Al comienzo de la batalla:] El $affected $h[Arma] gana $p1 de daño. El $affected2 objeto se activa un $p2 % más rápido. $t[Al golpear:] Consigue +$p3 de daño y se activa un $p4 % más rápido.
